City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed
san cristobal,VE,7.77,-72.22,84.2,54,20,8.05
ola,RU,59.58,151.28,24.44,93,80,19.44
san patricio,MX,19.22,-104.7,82.4,65,5,17.22
takayama,JP,36.13,137.25,32.86,66,90,3.42
corralillo,CU,22.98,-80.59,75.16,71,0,17.2
nizwa,OM,22.93,57.53,70.54,51,50,4.09
punta arenas,CL,-53.15,-70.92,50,53,54,13.87
atuona,PF,-9.8,-139.03,82.56,77,4,14.76
emilio carranza,MX,19.97,-96.61,83.17,71,0,12.55
busselton,AU,-33.65,115.33,54.66,59,84,9.28
bronnoysund,NO,65.46,12.2,30.2,86,100,14.99
yellowknife,CA,62.46,-114.35,-2.09,44,5,2.24
fayetteville,US,35.05,-78.88,86.58,38,1,13.87
bredasdorp,ZA,-34.53,20.04,59.49,87,65,3.36
mataura,NZ,-46.19,168.86,55.99,70,0,8.99
khatanga,RU,71.97,102.5,-6.63,91,89,3.15
rikitea,PF,-23.12,-134.97,79.43,80,88,14.83
zanjan,IR,36.67,48.48,43.57,51,98,6.26
bethel,US,41.37,-73.41,43.59,81,90,9.17
upernavik,GL,72.79,-56.15,5.88,91,82,11.36
devonport,AU,-41.17,146.35,62.53,86,100,7
albany,US,42.6,-73.97,40.71,75,90,4.7
lorengau,PG,-2.02,147.27,83.91,74,91,3.65
glendive,US,47.11,-104.71,53.78,34,40,9.17
roma,US,43.21,-75.46,43.79,75,90,10.29
kapaa,US,22.08,-159.32,73.74,88,90,12.75
lebu,CL,-37.62,-73.65,56.19,78,24,10.69
chuy,UY,-33.7,-53.46,70.84,88,60,4.25
saskylakh,RU,71.92,114.08,-19.34,84,14,1.1
cherat,PK,33.82,71.89,57.2,82,75,4.7
tiksi,RU,71.69,128.87,-3.64,88,100,3.91
saint george,US,37.1,-113.58,55.96,21,1,13.87
airai,TL,-8.93,125.41,68.94,51,77,2.98
valdivia,CL,-39.81,-73.25,64.4,63,75,2.24
mar del plata,AR,-38,-57.56,71.74,88,44,11.41
hobart,AU,-42.88,147.33,62.62,59,100,3.36
uglegorsk,RU,49.08,142.03,29.84,88,2,22.57
veraval,IN,20.9,70.37,71.91,58,0,12.1
castro,BR,-24.79,-50.01,62.26,71,18,3.98
ayr,GB,55.46,-4.63,36.39,69,20,4.7
christchurch,NZ,-43.53,172.63,51.84,87,100,11.41
jamestown,US,42.1,-79.24,50.86,100,90,4.7
te anau,NZ,-45.42,167.72,55.02,52,14,0.89
sokoni,TZ,-6.43,39.55,83.59,70,63,3.24
rajec,SK,49.09,18.64,39.4,74,6,2.24
le port,RE,-20.94,55.29,71.35,83,40,8.05
